pk_report_stock_balance,sort_key_report_stock_balance,c_des1,c_des2,diff_day,docno,first_recdate,GSI_ItemDate_Doc,GSI_PreEvent2,GSI_Wh_Prein_Item_Date_Doc,GSI_Whcode,itemcode,itemno,maincode,pre_event2,qtybal,qtyin,qtyout,seriesno,unitname,whcode
MG1#2021031#I-2021031-00040#1#1#P1000100300100,MG1#2021031#I-2021031-00040#1#1#P1000100300100,คอนกรีต,Strenght 180 ksc. Cyl,394,I-2021031-00040,2024-08-26,P1000100300100#2024-08-26#I-2021031-00040#1#1,2021031,2021031#P1000100300100#2024-08-26#I-2021031-00040#1#1,001,P1000100300100,1,MG1,2021031,10,10,0,1,ลบ.ม.,001
MG1#2021064#I-2021064-00116#1#1#P2000100200000,MG1#2021064#I-2021064-00116#1#1#P2000100200000,ดินปนทราย,,550,I-2021064-00116,2024-03-23,P2000100200000#2024-03-23#I-2021064-00116#1#1,2021064,2021064#P2000100200000#2024-03-23#I-2021064-00116#1#1,006,P2000100200000,1,MG1,2021064,12,12,0,1,ลบ.ม.,006
MG1#2023097#I-2023097-00002#3#1#P2000101300000,MG1#2023097#I-2023097-00002#3#1#P2000101300000,ทรายหยาบ,,849,I-2023097-00002,2023-05-29,P2000101300000#2023-05-29#I-2023097-00002#3#1,2023097,2023097#P2000101300000#2023-05-29#I-2023097-00002#3#1,WH-001,P2000101300000,3,MG1,2023097,13,20,7,1,ลบ.ม.,WH-001
MG1#2021011#I-2021011-00001#20#1#A1050104300000,MG1#2021011#I-2021011-00001#20#1#A1050104300000,ตู้สำนักงาน,,839,I-2021011-00001,2023-06-08,A1050104300000#2023-06-08#I-2021011-00001#20#1,2021011,2021011#A1050104300000#2023-06-08#I-2021011-00001#20#1,001,A1050104300000,20,MG1,2021011,15,15,0,1,ตู้,001
MG1#2021036#T-2021113-00002#3#1#P2400100300100,MG1#2021036#T-2021113-00002#3#1#P2400100300100,ตะปูตอกไม้,"""1""""""",1632,T-2021113-00002,2021-04-06,P2400100300100#2021-04-06#T-2021113-00002#3#1,2021036,2021036#P2400100300100#2021-04-06#T-2021113-00002#3#1,,P2400100300100,3,MG1,2021036,19.8879,19.8879,0,1,kg/กก.,
MG3#2021001#I-2021001-00061#19#1#9GFL0010300202,MG3#2021001#I-2021001-00061#19#1#9GFL0010300202,ARMALON NG,"""2MM GAUGE, 1.83M WIDE""",587,I-2021001-00061,2024-02-15,9GFL0010300202#2024-02-15#I-2021001-00061#19#1,2021001,2021001#9GFL0010300202#2024-02-15#I-2021001-00061#19#1,001,9GFL0010300202,19,MG3,2021001,20,20,0,1,SQM,001
MG1#2021093#I-2021093-00548#511#1#P2100100201400,MG1#2021093#I-2021093-00548#511#1#P2100100201400,ไม้สน,"""ขนาด 4""""ยาว 5.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100201400#2024-09-06#I-2021093-00548#511#1,2021093,2021093#P2100100201400#2024-09-06#I-2021093-00548#511#1,001,P2100100201400,511,MG1,2021093,20,20,0,1,ท่อน,001
MG1#2021093#I-2021093-00548#467#1#P3100100501000,MG1#2021093#I-2021093-00548#467#1#P3100100501000,กระเบื้องยางลายไม้,"""ขนาด 12""""x12"""" หนา 2 มม.""",383,I-2021093-00548,2024-09-06,P3100100501000#2024-09-06#I-2021093-00548#467#1,2021093,2021093#P3100100501000#2024-09-06#I-2021093-00548#467#1,001,P3100100501000,467,MG1,2021093,20,20,0,1,ตร.ม.,001
MG1#2021093#I-2021093-00548#481#1#P2100100101200,MG1#2021093#I-2021093-00548#481#1#P2100100101200,ไม้ยูคาลิปตัส,"""ขนาด 2 1/2""""ยาว 3.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100101200#2024-09-06#I-2021093-00548#481#1,2021093,2021093#P2100100101200#2024-09-06#I-2021093-00548#481#1,001,P2100100101200,481,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#317#1#9GFL0025100202,MG3#2021001#I-2021001-00061#317#1#9GFL0025100202,IMPERIAL TEXTURE,"""12 """"X12 """"X3/32 """"""",587,I-2021001-00061,2024-02-15,9GFL0025100202#2024-02-15#I-2021001-00061#317#1,2021001,2021001#9GFL0025100202#2024-02-15#I-2021001-00061#317#1,001,9GFL0025100202,317,MG3,2021001,20,20,0,1,SQM,001
